"","state","site","date","dailycases","note"
"352","Brazil","Ceará",2020-03-18,4,"NA"
"353","Brazil","Ceará",2020-03-19,11,"NA"
"354","Brazil","Ceará",2020-03-20,35,"NA"
"355","Brazil","Ceará",2020-03-21,13,"NA"
"356","Brazil","Ceará",2020-03-22,44,"NA"
"357","Brazil","Ceará",2020-03-23,51,"NA"
"358","Brazil","Ceará",2020-03-24,19,"NA"
"359","Brazil","Ceará",2020-03-25,18,"NA"
"360","Brazil","Ceará",2020-03-26,35,"NA"
"361","Brazil","Ceará",2020-03-27,47,"NA"
"362","Brazil","Ceará",2020-03-28,32,"NA"
"363","Brazil","Ceará",2020-03-29,34,"NA"
"364","Brazil","Ceará",2020-03-30,24,"NA"
"365","Brazil","Ceará",2020-03-31,18,"NA"
"366","Brazil","Ceará",2020-04-01,54,"NA"
"367","Brazil","Ceará",2020-04-02,106,"NA"
"368","Brazil","Ceará",2020-04-03,77,"NA"
"369","Brazil","Ceará",2020-04-04,103,"NA"
"370","Brazil","Ceará",2020-04-05,93,"NA"
"371","Brazil","Ceará",2020-04-06,190,"NA"
"372","Brazil","Ceará",2020-04-07,38,"NA"
"373","Brazil","Ceará",2020-04-08,240,"NA"
"374","Brazil","Ceará",2020-04-09,134,"NA"
"375","Brazil","Ceará",2020-04-10,53,"NA"
"376","Brazil","Ceará",2020-04-11,104,"NA"
"377","Brazil","Ceará",2020-04-12,94,"NA"
"378","Brazil","Ceará",2020-04-13,124,"NA"
"379","Brazil","Ceará",2020-04-14,205,"NA"
"380","Brazil","Ceará",2020-04-15,152,"NA"
"381","Brazil","Ceará",2020-04-16,229,"NA"
"382","Brazil","Ceará",2020-04-17,298,"NA"
"383","Brazil","Ceará",2020-04-18,350,"NA"
"384","Brazil","Ceará",2020-04-19,218,"NA"
"385","Brazil","Ceará",2020-04-20,230,"NA"
"386","Brazil","Ceará",2020-04-21,234,"NA"
"387","Brazil","Ceará",2020-04-22,194,"NA"
"388","Brazil","Ceará",2020-04-23,688,"NA"
"389","Brazil","Ceará",2020-04-24,202,"NA"
"390","Brazil","Ceará",2020-04-25,621,"NA"
"391","Brazil","Ceará",2020-04-26,412,"NA"
"392","Brazil","Ceará",2020-04-27,893,"NA"
"393","Brazil","Ceará",2020-04-28,192,"NA"
"394","Brazil","Ceará",2020-04-29,349,"NA"
"395","Brazil","Ceará",2020-04-30,339,"NA"
"396","Brazil","Ceará",2020-05-01,273,"NA"
"397","Brazil","Centro-Oeste",2020-02-26,0,"NA"
"398","Brazil","Centro-Oeste",2020-02-27,0,"NA"
"399","Brazil","Centro-Oeste",2020-02-28,0,"NA"
"400","Brazil","Centro-Oeste",2020-02-29,0,"NA"
"401","Brazil","Centro-Oeste",2020-03-01,0,"NA"
"402","Brazil","Centro-Oeste",2020-03-02,0,"NA"
"403","Brazil","Centro-Oeste",2020-03-03,0,"NA"
"404","Brazil","Centro-Oeste",2020-03-04,0,"NA"
"405","Brazil","Centro-Oeste",2020-03-05,0,"NA"
"406","Brazil","Centro-Oeste",2020-03-06,0,"NA"
"407","Brazil","Centro-Oeste",2020-03-07,1,"NA"
"408","Brazil","Centro-Oeste",2020-03-08,0,"NA"
"409","Brazil","Centro-Oeste",2020-03-09,0,"NA"
"410","Brazil","Centro-Oeste",2020-03-10,0,"NA"
"411","Brazil","Centro-Oeste",2020-03-11,1,"NA"
"412","Brazil","Centro-Oeste",2020-03-12,0,"NA"
"413","Brazil","Centro-Oeste",2020-03-13,3,"NA"
"414","Brazil","Centro-Oeste",2020-03-14,4,"NA"
"415","Brazil","Centro-Oeste",2020-03-15,2,"NA"
"416","Brazil","Centro-Oeste",2020-03-16,7,"NA"
"417","Brazil","Centro-Oeste",2020-03-17,14,"NA"
"418","Brazil","Centro-Oeste",2020-03-18,9,"NA"
"419","Brazil","Centro-Oeste",2020-03-19,20,"NA"
"420","Brazil","Centro-Oeste",2020-03-20,51,"NA"
"421","Brazil","Centro-Oeste",2020-03-21,26,"NA"
"422","Brazil","Centro-Oeste",2020-03-22,23,"NA"
"423","Brazil","Centro-Oeste",2020-03-23,18,"NA"
"424","Brazil","Centro-Oeste",2020-03-24,38,"NA"
"425","Brazil","Centro-Oeste",2020-03-25,4,"NA"
"426","Brazil","Centro-Oeste",2020-03-26,54,"NA"
"427","Brazil","Centro-Oeste",2020-03-27,43,"NA"
"428","Brazil","Centro-Oeste",2020-03-28,42,"NA"
"429","Brazil","Centro-Oeste",2020-03-29,39,"NA"
"430","Brazil","Centro-Oeste",2020-03-30,36,"NA"
"431","Brazil","Centro-Oeste",2020-03-31,35,"NA"
"432","Brazil","Centro-Oeste",2020-04-01,34,"NA"
"433","Brazil","Centro-Oeste",2020-04-02,28,"NA"
"434","Brazil","Centro-Oeste",2020-04-03,62,"NA"
"435","Brazil","Centro-Oeste",2020-04-04,81,"NA"
"436","Brazil","Centro-Oeste",2020-04-05,33,"NA"
"437","Brazil","Centro-Oeste",2020-04-06,26,"NA"
"438","Brazil","Centro-Oeste",2020-04-07,49,"NA"
"439","Brazil","Centro-Oeste",2020-04-08,59,"NA"
"440","Brazil","Centro-Oeste",2020-04-09,61,"NA"
"441","Brazil","Centro-Oeste",2020-04-10,52,"NA"
"442","Brazil","Centro-Oeste",2020-04-11,54,"NA"
