CODE_2,iso_alpha_3,RG_cumsum_10,date,RG_LON,RG_LAT,RG_pop_tot,RG_pop_tot_adj,RG_pop_65up,RG_pop_45_64,RG_pop_tot_perc_male,WB_gdp_pcap,WB_prevalence_diabetes,ST_tests,ST_stringency_index,RG_temp_med_30,RG_temp_min_30,RG_temp_max_30,RG_rh_med_30,RG_rh_max_30,RG_rh_min_30,RG_ah_med_30,RG_ah_min_30,RG_ah_max_30,RG_pm10,RG_pm25,RG_no2
ARG.22_1,ARG,22,5/20/20,-63.43881177,-28.06432056,961931,966834,0.070222137,0.163971025,0.496224265,10006.14897,5.9,112370,90.74,22.12591691,11.51004341,35.81641877,60.43919865,24.87999944,97.60999782,8.333999814,4.529999899,13.5199997,11.07309723,7.900308568,1.199312089
ARG.23_1,ARG,91,4/11/20,-68.16409897,-53.80000114,162953,163783,0.035987165,0.192754912,0.512890569,10006.14897,5.9,18027,100,14.36623248,8.30326389,20.58457797,75.15548219,44.00999902,97.37999782,6.030322446,3.329999926,8.149999818,8.82280977,4.70433907,0.08546098
ARG.24_1,ARG,31,4/20/20,-65.36880137,-27.03806305,1576712,1584749,0.073638904,0.182203046,0.489580771,10006.14897,5.9,34568,100,22.14012174,15.21629875,33.85905267,82.85903041,45.68999898,100,10.55870944,7.209999839,14.47999968,22.30569796,16.03577196,5.064258345
ARG.3_1,ARG,69,3/29/20,-60.69185021,-26.04924679,1136724,1142514,0.064460489,0.170246636,0.493659757,10006.14897,5.9,NA,100,28.96647805,19.68696926,40.90238557,65.30612757,30.72999931,97.08999783,11.52999974,7.759999827,15.67999965,11.46371775,8.172077287,2.098857868
ARG.5_1,ARG,170,3/25/20,-58.43426928,-34.62111092,3023961,3039374,0.14228968,0.231567724,0.465375961,10006.14897,5.9,NA,100,26.00871255,18.51139139,33.04251829,70.45032101,38.15999915,95.51999786,11.04290298,6.389999857,15.16999966,26.038464,18.36984743,11.70385405
ARG.6_1,ARG,131,4/3/20,-63.63235841,-32.25216484,3617995,3636435,0.101586173,0.200358005,0.487377344,10006.14897,5.9,NA,100,23.7836517,13.01281413,35.14176448,76.72193377,36.01999919,100,10.54483847,5.409999879,15.05999966,10.3308938,7.333837935,3.56919777
ARG.7_1,ARG,48,4/30/20,-57.80164234,-29.00383568,1067158,1072608,0.071935993,0.179939423,0.489871793,10006.14897,5.9,58685,88.89,22.75485761,13.60349858,34.57569189,63.90903083,26.31999941,97.54999782,8.503548197,4.4699999,14.72999967,8.467784197,5.916249036,1.727645806
ARG.8_1,ARG,30,5/14/20,-59.42209573,-32.10263824,1338009,1344832,0.093636451,0.196447877,0.491299746,10006.14897,5.9,93673,90.74,19.95751282,8.094787027,33.06278687,70.16193392,27.80999938,100,8.297419169,4.529999899,13.4599997,7.500921925,5.189263127,1.345065425
AT11,AUT,201,4/2/20,16.4852713,47.474325,296735,292615,0.172232564,0.313777962,0.494660383,50277.27509,6.6,92190,85.19,11.8896824,0.698201661,25.00892029,60.0309664,18.40999959,96.16999785,4.235161196,1.739999961,6.999999844,22.45482527,15.91291104,11.20627327
AT12,AUT,256,3/18/20,15.57439808,48.22149,1743624,1718318,0.166763303,0.292880659,0.495443082,50277.27509,6.6,11977,85.19,10.87223685,0.324680615,24.2517439,62.38451473,28.07999937,95.21999787,4.50548377,1.979999956,6.839999847,23.14736962,16.48930202,14.4467608
AT13,AUT,209,3/18/20,16.37194496,48.21806,1814683,1788360,0.147599963,0.268381894,0.485621496,50277.27509,6.6,11977,85.19,10.71620611,0.653321225,23.82899915,62.63032118,27.86999938,95.53999786,4.479677319,2.019999955,6.769999849,23.14736962,16.48930202,14.4467608
AT21,AUT,293,4/1/20,13.9387458,46.75292,557832,549708,0.173063814,0.302518082,0.49109607,50277.27509,6.6,55863,85.19,9.054742653,-0.312332022,22.51009344,68.21096622,26.7399994,96.71999784,4.046128942,1.409999968,6.419999857,20.1353334,14.3478895,13.61551458
AT22,AUT,627,3/25/20,14.97565712,47.218245,1243512,1225434,0.167835702,0.289439203,0.495402985,50277.27509,6.6,32407,85.19,10.24774029,0.14226336,24.27201249,65.69903079,32.06999928,98.88999779,4.279677324,1.909999957,6.69999985,19.09010526,13.609743,12.34865215
AT31,AUT,915,3/25/20,13.62112413,48.11687,1445172,1424276,0.153294195,0.287000949,0.49724158,50277.27509,6.6,32407,85.19,10.42800926,1.491571945,23.57274634,68.80612749,20.25999955,96.68999784,4.571935382,1.669999963,7.029999843,18.90770635,13.49905491,14.41596157
AT32,AUT,591,3/26/20,13.29134711,47.493355,546136,538315,0.150996075,0.285801691,0.490296761,50277.27509,6.6,35995,85.19,8.100998367,-4.05188575,22.0410205,73.43999836,28.08999937,99.11999778,4.222903131,1.929999957,7.019999843,19.78056352,14.1000417,16.33876991
AT33,AUT,1393,3/25/20,11.15735578,47.25465,750672,739995,0.148067667,0.278406157,0.49403251,50277.27509,6.6,32407,85.19,4.097906346,-7.396202093,17.2576347,75.63999831,32.24999928,99.29999778,3.443870891,1.379999969,5.329999881,17.34743639,12.38329238,14.99749301
AT34,AUT,435,3/26/20,9.894662551,47.21184,392421,386786,0.140793224,0.273645982,0.496614955,50277.27509,6.6,35995,85.19,9.722064762,-0.913150759,22.21040795,70.28161133,29.68999934,95.93999786,4.452580546,1.979999956,7.269999838,15.61050697,11.12557382,14.03815463
AUS.10_1,AUS,178,3/20/20,144.5496697,-36.55857086,5319759,6344372,0.124924854,0.254672476,0.494519782,54907.10191,5.6,NA,44.44,20.42691268,10.65876289,33.334965,69.43806296,28.83999936,100,8.140322399,5.289999882,12.39999972,14.35010927,9.499678866,11.19691432
AUS.11_1,AUS,231,3/26/20,121.2021408,-24.43881607,2196198,2619197,0.108722185,0.255265126,0.504874898,54907.10191,5.6,NA,64.35,26.35724813,18.90373327,33.82864979,62.00774055,23.01999949,94.26999789,9.740322363,4.889999891,14.16999968,12.9643768,8.438943718,3.86627891
AUS.2_1,AUS,93,4/4/20,148.9563426,-35.52241325,356571,425249,0.094715855,0.246351668,0.496807443,54907.10191,5.6,NA,73.15,18.96537965,10.11585439,30.52631837,74.87354671,26.52999941,100,7.825161115,4.179999907,12.22999973,8.636858293,5.729028954,2.505407997
AUS.5_1,AUS,171,3/16/20,146.4524461,-32.83105087,6761711,8064051,0.128955907,0.259169215,0.495734176,54907.10191,5.6,NA,27.78,23.42708341,20.47889179,31.43261363,76.39225636,46.06999897,98.2399978,11.04612879,7.209999839,14.45999968,15.20529435,9.995600132,11.18771775
AUS.6_1,AUS,28,4/9/20,133.5008496,-18.40164185,205404,244966,0.053318995,0.2317773,0.516546094,54907.10191,5.6,330134,73.15,30.26731016,25.17251671,37.68257625,79.63419177,38.51999914,99.82999777,15.5025803,10.20999977,17.55999961,23.43771154,16.7141491,0.314529899
AUS.7_1,AUS,78,3/17/20,143.0483058,-19.93047333,4246663,5064587,0.116389834,0.25529036,0.497815244,54907.10191,5.6,NA,27.78,26.22741711,20.93638268,34.68572134,76.17064346,46.07999897,97.64999782,12.53483843,8.149999818,15.88999964,15.00126673,10.06491376,9.562977166
AUS.8_1,AUS,197,3/25/20,136.9484518,-32.02882385,1578289,1882275,0.140475767,0.272015973,0.496626608,54907.10191,5.6,NA,64.35,20.97028819,12.01675801,34.77982548,60.16967607,16.09999964,95.38999787,6.893225652,3.499999922,10.96999975,8.939078614,5.480265742,2.292963781
AUS.9_1,AUS,80,4/3/20,146.6724083,-42.14234924,472831,563901,0.144362753,0.284411336,0.492884211,54907.10191,5.6,NA,73.15,17.74235275,9.933437137,27.94352168,73.07903062,38.38999914,99.54999777,7.202257904,4.819999892,11.77999974,12.15346651,7.495013773,0.803216975
BE10,BEL,278,3/16/20,4.374916041,50.840915,1250418,1253124,0.113297421,0.227910792,0.491425047,46116.69923,4.6,13616,50.93,10.32512519,3.574892818,18.8038381,81.95548204,45.42999898,98.93999779,5.904193416,3.729999917,8.559999809,24.76908978,17.12536475,16.61961987
BE23,BEL,972,3/15/20,3.811776523,51.038025,1533823,1537125,0.166760987,0.279322289,0.497303346,46116.69923,4.6,12184,50.93,10.39055442,3.873130553,18.0177066,82.00741752,48.24999892,98.03999781,5.999999866,4.049999909,8.599999808,24.76908978,17.12536475,16.61961987
BE35,BEL,624,3/16/20,4.803891569,50.218975,516128,517199,0.150207659,0.279102456,0.493683311,46116.69923,4.6,13616,50.93,9.85670607,3.068178221,18.72276377,83.06677234,46.94999895,100,5.829354708,3.869999913,8.709999805,22.55744003,15.56767715,12.56011665
