"","state","date","site","dailycases"
"246","Norway",2020-05-21,"Innlandet",3
"247","Norway",2020-05-22,"Innlandet",3
"248","Norway",2020-05-23,"Innlandet",0
"249","Norway",2020-05-24,"Innlandet",4
"250","Norway",2020-05-25,"Innlandet",0
"251","Norway",2020-05-26,"Innlandet",1
"252","Norway",2020-05-27,"Innlandet",4
"253","Norway",2020-05-28,"Innlandet",2
"254","Norway",2020-05-29,"Innlandet",2
"255","Norway",2020-05-30,"Innlandet",3
"256","Norway",2020-05-31,"Innlandet",4
"257","Norway",2020-06-01,"Innlandet",0
"258","Norway",2020-06-02,"Innlandet",2
"259","Norway",2020-06-03,"Innlandet",0
"260","Norway",2020-06-04,"Innlandet",2
"261","Norway",2020-06-05,"Innlandet",0
"262","Norway",2020-06-06,"Innlandet",0
"263","Norway",2020-06-07,"Innlandet",0
"264","Norway",2020-06-08,"Innlandet",0
"265","Norway",2020-06-09,"Innlandet",1
"266","Norway",2020-06-10,"Innlandet",0
"267","Norway",2020-06-11,"Innlandet",0
"268","Norway",2020-06-12,"Innlandet",0
"269","Norway",2020-06-13,"Innlandet",1
"270","Norway",2020-06-14,"Innlandet",0
"271","Norway",2020-06-15,"Innlandet",0
"272","Norway",2020-06-16,"Innlandet",1
"273","Norway",2020-06-17,"Innlandet",0
"274","Norway",2020-06-18,"Innlandet",0
"275","Norway",2020-06-19,"Innlandet",0
"276","Norway",2020-06-20,"Innlandet",0
"277","Norway",2020-06-21,"Innlandet",1
"278","Norway",2020-06-22,"Innlandet",0
"279","Norway",2020-06-23,"Innlandet",0
"280","Norway",2020-06-24,"Innlandet",0
"281","Norway",2020-06-25,"Innlandet",1
"282","Norway",2020-06-26,"Innlandet",0
"283","Norway",2020-06-27,"Innlandet",0
"284","Norway",2020-06-28,"Innlandet",0
"285","Norway",2020-06-29,"Innlandet",0
"286","Norway",2020-06-30,"Innlandet",0
"287","Norway",2020-07-01,"Innlandet",0
"288","Norway",2020-07-02,"Innlandet",0
"289","Norway",2020-07-03,"Innlandet",-1
"290","Norway",2020-07-04,"Innlandet",0
"291","Norway",2020-07-05,"Innlandet",0
"292","Norway",2020-07-06,"Innlandet",0
"293","Norway",2020-07-07,"Innlandet",1
"294","Norway",2020-07-08,"Innlandet",0
"295","Norway",2020-07-10,"Innlandet",1
"296","Norway",2020-07-11,"Innlandet",0
"297","Norway",2020-07-12,"Innlandet",0
"298","Norway",2020-07-13,"Innlandet",0
"299","Norway",2020-07-14,"Innlandet",-8
"300","Norway",2020-07-15,"Innlandet",1
"301","Norway",2020-07-16,"Innlandet",0
"302","Norway",2020-07-17,"Innlandet",0
"303","Norway",2020-07-18,"Innlandet",0
"304","Norway",2020-07-19,"Innlandet",0
"305","Norway",2020-07-20,"Innlandet",0
"306","Norway",2020-07-21,"Innlandet",2
"307","Norway",2020-07-22,"Innlandet",2
"308","Norway",2020-07-23,"Innlandet",1
"309","Norway",2020-07-24,"Innlandet",1
"310","Norway",2020-07-25,"Innlandet",0
"311","Norway",2020-07-26,"Innlandet",0
"312","Norway",2020-07-27,"Innlandet",0
"313","Norway",2020-07-28,"Innlandet",0
"314","Norway",2020-07-29,"Innlandet",0
"315","Norway",2020-07-30,"Innlandet",1
"316","Norway",2020-07-31,"Innlandet",2
"317","Norway",2020-08-01,"Innlandet",1
"318","Norway",2020-08-02,"Innlandet",0
"319","Norway",2020-08-03,"Innlandet",0
"320","Norway",2020-08-04,"Innlandet",3
"321","Norway",2020-08-05,"Innlandet",0
"322","Norway",2020-08-06,"Innlandet",0
"323","Norway",2020-08-07,"Innlandet",3
"324","Norway",2020-08-08,"Innlandet",1
"325","Norway",2020-08-09,"Innlandet",0
"326","Norway",2020-08-10,"Innlandet",0
"327","Norway",2020-08-11,"Innlandet",2
"328","Norway",2020-08-12,"Innlandet",-1
"329","Norway",2020-08-13,"Innlandet",1
"330","Norway",2020-08-14,"Innlandet",4
"331","Norway",2020-08-15,"Innlandet",3
"332","Norway",2020-08-16,"Innlandet",2
"333","Norway",2020-08-17,"Innlandet",0
"334","Norway",2020-08-18,"Innlandet",12
"335","Norway",2020-08-19,"Innlandet",1
"336","Norway",2020-08-20,"Innlandet",2
"337","Norway",2020-08-21,"Innlandet",1
"338","Norway",2020-08-22,"Innlandet",1
"339","Norway",2020-08-23,"Innlandet",0
"340","Norway",2020-08-24,"Innlandet",0
"341","Norway",2020-08-25,"Innlandet",0
"342","Norway",2020-08-26,"Innlandet",1
"343","Norway",2020-08-27,"Innlandet",1
"344","Norway",2020-08-28,"Innlandet",1
