"","state","site","date","dailycases","note"
"351","Austria","V",2020-03-03,0,"NA"
"352","Austria","V",2020-03-04,0,"NA"
"353","Austria","V",2020-03-05,0,"NA"
"354","Austria","V",2020-03-06,1,"NA"
"355","Austria","V",2020-03-07,0,"NA"
"356","Austria","V",2020-03-08,0,"NA"
"357","Austria","V",2020-03-09,2,"NA"
"358","Austria","V",2020-03-10,8,"NA"
"359","Austria","V",2020-03-11,2,"NA"
"360","Austria","V",2020-03-12,3,"NA"
"361","Austria","V",2020-03-13,6,"NA"
"362","Austria","V",2020-03-14,12,"NA"
"363","Austria","V",2020-03-15,14,"NA"
"364","Austria","V",2020-03-16,7,"NA"
"365","Austria","V",2020-03-17,44,"NA"
"366","Austria","V",2020-03-18,25,"NA"
"367","Austria","V",2020-03-19,27,"NA"
"368","Austria","V",2020-03-20,46,"NA"
"369","Austria","V",2020-03-21,31,"NA"
"370","Austria","V",2020-03-22,35,"NA"
"371","Austria","V",2020-03-23,60,"NA"
"372","Austria","V",2020-03-24,56,"NA"
"373","Austria","V",2020-03-25,28,"NA"
"374","Austria","V",2020-03-26,28,"NA"
"375","Austria","V",2020-03-27,66,"NA"
"376","Austria","V",2020-03-28,48,"NA"
"377","Austria","V",2020-03-29,30,"NA"
"378","Austria","V",2020-03-30,37,"NA"
"379","Austria","V",2020-03-31,30,"NA"
"380","Austria","V",2020-04-01,20,"NA"
"381","Austria","V",2020-04-02,15,"NA"
"382","Austria","V",2020-04-03,29,"NA"
"383","Austria","V",2020-04-04,12,"NA"
"384","Austria","V",2020-04-05,20,"NA"
"385","Austria","V",2020-04-06,12,"NA"
"386","Austria","V",2020-04-07,14,"NA"
"387","Austria","V",2020-04-08,25,"NA"
"388","Austria","V",2020-04-09,7,"NA"
"389","Austria","V",2020-04-10,9,"NA"
"390","Austria","V",2020-04-11,16,"NA"
"391","Austria","V",2020-04-12,18,"NA"
"392","Austria","V",2020-04-13,-11,"NA"
"393","Austria","W",2020-02-25,0,"NA"
"394","Austria","W",2020-02-26,0,"NA"
"395","Austria","W",2020-02-27,1,"NA"
"396","Austria","W",2020-02-28,2,"NA"
"397","Austria","W",2020-02-29,1,"NA"
"398","Austria","W",2020-03-01,0,"NA"
"399","Austria","W",2020-03-02,4,"NA"
"400","Austria","W",2020-03-03,1,"NA"
"401","Austria","W",2020-03-04,6,"NA"
"402","Austria","W",2020-03-05,1,"NA"
"403","Austria","W",2020-03-06,7,"NA"
"404","Austria","W",2020-03-07,0,"NA"
"405","Austria","W",2020-03-08,9,"NA"
"406","Austria","W",2020-03-09,3,"NA"
"407","Austria","W",2020-03-10,8,"NA"
"408","Austria","W",2020-03-11,7,"NA"
"409","Austria","W",2020-03-12,16,"NA"
"410","Austria","W",2020-03-13,16,"NA"
"411","Austria","W",2020-03-14,19,"NA"
"412","Austria","W",2020-03-15,21,"NA"
"413","Austria","W",2020-03-16,6,"NA"
"414","Austria","W",2020-03-17,38,"NA"
"415","Austria","W",2020-03-18,43,"NA"
"416","Austria","W",2020-03-19,25,"NA"
"417","Austria","W",2020-03-20,62,"NA"
"418","Austria","W",2020-03-21,63,"NA"
"419","Austria","W",2020-03-22,44,"NA"
"420","Austria","W",2020-03-23,73,"NA"
"421","Austria","W",2020-03-24,141,"NA"
"422","Austria","W",2020-03-25,85,"NA"
"423","Austria","W",2020-03-26,123,"NA"
"424","Austria","W",2020-03-27,178,"NA"
"425","Austria","W",2020-03-28,43,"NA"
"426","Austria","W",2020-03-29,55,"NA"
"427","Austria","W",2020-03-30,134,"NA"
"428","Austria","W",2020-03-31,143,"NA"
"429","Austria","W",2020-04-01,119,"NA"
"430","Austria","W",2020-04-02,86,"NA"
"431","Austria","W",2020-04-03,78,"NA"
"432","Austria","W",2020-04-04,18,"NA"
"433","Austria","W",2020-04-05,22,"NA"
"434","Austria","W",2020-04-06,42,"NA"
"435","Austria","W",2020-04-07,70,"NA"
"436","Austria","W",2020-04-08,47,"NA"
"437","Austria","W",2020-04-09,32,"NA"
"438","Austria","W",2020-04-10,60,"NA"
"439","Austria","W",2020-04-11,43,"NA"
"440","Austria","W",2020-04-12,34,"NA"
"441","Austria","W",2020-04-13,-14,"NA"
